tone,b,b_chin,b_cheek,a,a_chin,a_cheek,l,L_chin,L_cheek,v,v_chin,v_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
0,6.48,13.44,9.94,4.31,10.34,6.08,90.64,77.82,86.86,94.9,86.67,92.94,10.74,23.98,16.03,20.77,19.25,22.11
0,9.14,13.36,16.05,3.91,6.01,8.07,87.07,81.9,74.77,91.37,88.24,82.35,13.73,20.44,26.19,26.25,26.09,25.09
0,19.95,22.37,20.07,14.32,16.84,17.3,81.12,74.83,80.77,94.51,89.41,96.08,31.54,36.84,33.06,20.53,20.0,17.78
0,15.72,23.46,19.41,13.82,14.82,13.94,67.57,70.25,76.62,78.04,83.14,89.02,31.16,38.68,32.16,17.42,22.68,20.55
0,15.46,15.65,11.55,6.06,6.47,4.68,86.27,84.93,90.14,93.73,92.55,96.08,21.76,22.46,16.33,27.69,27.17,27.0
0,13.01,15.87,15.64,10.31,11.73,11.27,72.64,71.93,73.3,80.78,81.57,82.75,24.76,28.85,27.96,18.82,20.0,20.34
0,15.39,17.79,16.15,9.71,13.02,10.29,79.54,65.52,80.42,88.63,75.69,90.2,25.22,33.68,26.09,22.11,20.31,22.0
0,7.61,10.34,9.24,16.62,15.01,8.46,65.06,71.12,82.72,75.29,81.57,89.8,24.48,25.0,17.47,2.55,9.23,16.5
0,11.09,13.17,11.24,12.22,8.26,9.41,64.03,79.14,84.79,72.16,86.67,93.33,26.09,22.17,19.75,13.75,22.04,17.87
0,15.49,16.91,15.32,10.1,12.69,12.71,64.76,55.77,66.15,72.55,64.71,75.69,29.73,36.36,30.57,21.82,20.0,18.31
0,8.91,13.75,14.15,4.52,8.74,8.49,81.46,65.91,68.5,85.49,72.55,75.29,14.68,26.49,26.04,24.38,22.04,22.8
0,16.47,18.92,16.08,11.08,10.34,10.49,79.89,81.22,84.8,90.2,91.76,95.29,26.96,28.63,25.1,21.29,24.18,21.64
0,9.27,13.55,14.67,3.99,8.3,8.35,81.71,66.93,68.48,85.49,73.33,75.29,14.68,25.67,26.56,26.25,22.5,23.53
0,19.44,22.53,20.42,14.45,17.23,16.79,81.14,74.94,80.65,94.51,89.8,95.69,31.12,37.12,33.2,20.0,19.76,18.52
0,21.18,25.59,23.53,11.09,15.45,12.71,86.85,77.13,85.14,99.22,91.76,98.82,29.64,38.46,32.94,24.8,23.33,24.58
0,8.24,12.25,12.02,8.85,8.89,9.76,51.07,80.36,80.92,55.69,88.24,89.41,23.94,21.33,21.49,14.12,20.0,18.37
0,8.1,11.34,12.59,8.18,8.18,11.02,77.18,84.15,77.59,83.14,91.76,86.67,16.98,19.23,23.53,15.0,20.0,17.31
0,11.64,9.82,7.7,15.43,11.47,10.39,72.37,84.89,87.44,83.53,94.51,96.08,26.29,19.5,16.33,10.71,12.77,10.5
0,21.68,25.59,26.01,10.96,15.45,14.46,86.83,77.13,82.37,99.22,91.76,97.25,30.04,38.46,36.69,25.26,23.33,24.4
0,15.39,17.79,16.49,9.71,13.02,9.76,79.54,65.52,80.66,88.63,75.69,90.2,25.22,33.68,26.09,22.11,20.31,23.0
0,13.01,15.51,15.28,10.31,12.25,11.79,72.64,72.05,73.42,80.78,81.96,83.14,24.76,28.71,27.83,18.82,19.0,19.32
0,20.32,18.34,17.13,7.52,8.06,9.21,87.78,87.86,88.1,97.65,97.65,98.43,26.91,25.3,24.7,28.66,26.67,24.19
0,3.98,15.01,7.62,3.54,8.88,5.92,94.27,81.51,90.32,97.65,90.2,96.08,7.23,23.91,13.06,16.67,22.91,18.75
0,12.9,12.59,11.04,6.47,7.02,6.12,84.51,83.19,87.61,91.37,90.2,94.12,19.74,20.0,17.08,24.78,23.48,23.41
0,21.99,17.45,21.31,10.66,14.54,10.38,77.35,37.57,77.63,88.24,46.67,88.24,32.89,48.74,32.0,25.95,18.62,25.83
0,17.39,31.76,19.9,10.73,18.83,13.79,81.64,63.88,76.96,92.16,79.61,89.41,27.23,51.23,32.46,22.5,24.23,21.08
0,11.43,5.42,6.23,12.15,9.99,10.6,50.76,73.49,72.91,58.04,79.61,79.61,31.08,15.76,17.24,14.35,5.63,6.86
0,8.66,10.65,12.41,9.85,11.91,13.3,83.03,79.22,75.57,90.98,88.63,85.88,17.67,21.68,25.11,13.17,13.47,14.18
0,17.81,10.23,12.46,-0.11,6.56,8.49,94.5,81.23,88.54,99.22,87.06,97.25,18.97,17.57,19.76,41.25,21.54,20.82
0,9.31,15.73,10.23,7.18,10.25,8.14,83.51,75.64,83.03,89.8,84.71,90.2,16.59,26.85,18.26,18.95,21.72,18.57
0,0.49,9.57,9.81,-0.18,6.07,6.79,81.66,77.1,78.36,79.61,81.96,83.92,0.49,17.22,17.76,60.0,21.67,20.53
0,11.65,12.05,9.93,15.45,15.16,16.81,72.01,74.54,71.57,83.14,85.88,83.14,26.42,26.03,25.47,10.71,11.58,6.67
0,2.79,14.49,4.76,12.05,16.38,14.19,84.84,67.06,86.13,92.94,78.82,96.47,13.92,31.34,16.26,354.55,13.33,358.5
0,12.64,6.67,6.51,10.36,4.72,4.33,65.89,86.83,88.87,73.33,90.98,92.94,26.2,11.64,10.97,18.37,20.0,20.77
0,17.11,17.84,10.93,5.73,5.0,8.65,82.64,85.37,85.68,89.8,92.55,93.73,24.02,23.73,18.83,29.45,31.07,18.67
0,2.28,5.51,3.72,7.79,11.78,10.12,85.98,79.79,85.13,90.98,87.84,92.16,9.48,16.07,12.34,357.27,3.33,0.0
0,9.09,11.81,10.18,6.75,9.33,10.97,86.63,82.63,84.42,92.94,90.98,93.73,15.61,20.69,19.67,19.46,18.75,14.04
0,6.14,10.19,7.05,8.91,9.2,9.63,73.99,77.47,69.72,79.61,84.71,75.69,15.76,19.91,18.13,9.38,16.74,10.29
0,7.77,14.84,15.54,6.29,9.55,12.52,89.7,77.29,74.34,95.69,85.88,84.71,13.52,25.11,28.24,18.18,21.82,18.69
0,8.21,12.41,11.48,8.82,9.27,9.87,51.85,80.09,82.02,56.47,88.24,90.59,23.61,21.78,20.78,14.12,19.59,17.5
0,9.06,13.45,13.94,5.16,7.67,9.11,86.27,81.19,82.99,91.37,88.63,91.76,14.59,21.68,22.65,22.94,23.27,21.51
0,11.8,5.78,6.75,11.57,9.45,10.44,51.03,73.74,72.89,58.04,79.61,79.61,31.08,15.76,17.73,15.65,7.5,8.33
0,17.81,10.23,12.46,-0.11,6.56,8.49,94.5,81.23,88.54,99.22,87.06,97.25,18.97,17.57,19.76,41.25,21.54,20.82
0,8.38,12.68,11.3,4.93,7.09,6.58,88.34,80.68,83.42,93.33,87.45,89.8,13.45,20.63,18.34,22.5,23.48,22.86
0,12.17,18.94,12.06,4.89,11.42,7.4,90.2,77.47,88.28,96.47,88.24,96.08,17.07,30.22,18.78,27.14,22.94,22.17
0,9.69,13.6,13.28,5.37,8.05,8.86,85.98,80.92,83.63,91.37,88.63,92.16,15.45,22.12,21.7,23.33,22.8,21.18
0,3.98,14.99,7.34,3.54,8.86,5.2,94.27,81.87,91.21,97.65,90.59,96.47,7.23,23.81,12.2,16.67,22.91,20.0
