tone,weather,b,b_chin,b_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
cool,winter,9.21,10.2,10.36,23.76,20.54,20.98,11.16,14.35,14.04
cool,winter,7.76,4.45,9.73,14.89,9.17,17.14,15.43,14.29,17.14
cool,winter,-0.22,8.54,7.53,7.83,17.99,20.7,343.33,11.16,3.83
cool,winter,2.43,6.22,3.79,10.22,20.19,18.06,357.39,1.43,355.38
cool,winter,14.05,7.84,12.38,26.29,27.59,25.5,12.73,358.93,9.38
cool,winter,7.03,8.58,8.19,12.5,23.3,16.17,18.0,10.24,14.21
cool,winter,7.01,9.99,8.23,13.79,20.37,16.45,15.0,15.0,14.21
cool,winter,6.18,9.82,8.4,15.72,32.67,22.17,6.67,6.12,6.38
cool,winter,7.35,10.19,6.8,17.59,24.7,17.29,12.0,16.1,8.11
cool,winter,11.39,6.69,14.74,20.17,28.1,26.84,17.5,5.29,16.45
cool,winter,5.76,9.87,8.8,18.07,23.33,21.05,0.0,6.43,5.77
cool,winter,7.31,8.34,7.4,16.88,19.28,18.98,9.23,9.77,7.32
cool,winter,9.21,10.19,7.97,15.09,19.21,14.47,22.29,16.36,17.65
cool,winter,4.08,7.56,8.35,14.92,21.9,18.06,2.22,3.91,11.71
cool,winter,4.21,5.79,2.89,16.96,25.47,19.92,356.92,355.56,351.06
cool,winter,8.1,5.76,8.03,13.06,13.89,18.3,24.83,10.0,10.24
cool,winter,12.08,9.66,10.79,25.76,19.82,22.03,15.29,13.33,13.2
cool,winter,10.7,9.2,10.38,20.17,18.52,19.68,15.0,26.0,13.47
cool,winter,8.51,9.23,10.16,14.02,16.87,17.68,36.52,30.0,33.1
cool,winter,5.01,5.89,8.91,14.38,16.67,22.01,13.64,14.4,17.14
cool,winter,4.67,8.51,8.16,10.48,15.05,18.32,13.64,23.23,15.43
cool,winter,11.58,7.97,9.9,17.03,20.61,13.58,27.69,22.22,29.09
cool,winter,5.2,9.93,10.32,15.0,23.76,25.28,8.89,13.95,13.33
cool,winter,4.61,9.83,9.15,8.16,17.18,17.41,18.0,20.0,16.92
cool,winter,5.32,7.03,10.18,9.13,10.62,14.98,18.26,27.5,28.24
cool,winter,3.57,9.17,11.83,10.43,20.63,27.17,5.45,15.38,16.6
cool,winter,2.68,1.9,8.69,7.6,2.78,22.55,3.16,25.71,7.83
cool,winter,6.94,9.66,7.7,13.28,17.3,14.4,15.0,17.56,15.43
cool,winter,4.09,5.71,10.8,7.48,8.33,13.94,15.79,27.0,30.86
cool,winter,7.81,9.16,7.69,18.58,23.79,18.8,8.57,7.35,6.82
cool,winter,7.78,9.45,8.12,17.02,23.42,20.38,10.5,6.92,8.37
cool,winter,3.96,8.81,15.52,9.75,16.81,34.57,7.83,15.0,13.85
cool,winter,9.67,9.95,12.38,16.05,20.52,20.92,20.0,12.77,19.2
cool,winter,3.41,9.51,8.43,4.41,11.82,11.87,36.0,39.23,32.31
cool,winter,7.57,9.99,11.65,14.74,17.74,22.88,12.97,16.36,13.33
cool,winter,-0.01,5.64,14.06,4.88,17.68,30.65,345.0,8.28,15.79
cool,winter,5.71,7.04,9.22,15.02,17.14,20.67,7.5,10.0,12.56
cool,winter,4.07,8.35,9.51,8.0,13.22,17.41,16.67,22.5,22.29
cool,winter,8.15,9.21,10.27,15.15,17.24,19.07,17.14,16.5,16.0
cool,winter,7.4,9.8,8.45,14.83,18.32,16.9,17.42,21.08,16.67
cool,winter,6.13,8.78,8.01,10.48,18.18,16.24,24.55,19.41,18.75
cool,winter,9.97,6.81,13.05,13.1,35.64,26.95,34.0,1.67,22.67
cool,winter,2.45,8.98,8.21,2.29,14.22,12.87,60.0,28.97,30.0
cool,winter,8.92,8.03,8.12,16.94,19.63,18.6,14.63,8.37,8.0
cool,winter,1.91,3.7,8.59,13.65,14.88,21.2,351.18,356.67,4.53
cool,winter,6.44,9.48,8.75,14.29,20.35,18.88,10.91,11.74,10.91
cool,winter,5.47,7.57,10.63,12.03,15.52,18.55,10.34,13.33,16.96
cool,winter,3.96,6.12,7.79,9.74,12.33,15.87,12.63,15.0,20.0
cool,winter,7.89,9.4,8.54,10.66,20.48,13.98,30.0,21.18,21.82
cool,winter,5.42,8.09,9.37,12.5,18.36,20.27,10.71,12.63,12.0
cool,winter,7.72,9.55,10.9,17.33,21.74,22.83,10.77,12.0,13.2
cool,winter,7.86,8.45,9.38,18.92,19.17,21.62,13.71,14.59,15.0
cool,winter,9.27,9.49,8.25,19.48,17.95,18.85,12.0,15.71,7.83
cool,winter,9.17,9.34,9.34,19.8,19.79,20.4,15.0,17.37,14.63
cool,winter,6.13,6.34,5.78,15.61,19.89,18.95,9.37,4.86,3.33
cool,winter,9.72,6.79,9.73,19.12,9.91,16.46,18.46,30.0,20.0
cool,winter,5.8,9.67,8.98,11.02,18.75,17.54,16.15,18.46,17.84
cool,winter,8.44,8.83,9.51,15.32,16.3,17.49,19.41,17.84,18.46
cool,winter,5.68,8.32,9.2,11.57,20.92,20.91,12.86,10.24,10.43
