,b,b_chin,b_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
b,1.0,0.8185131451360965,0.8849363210254784,0.8781453567224146,0.7501000381931185,0.8140158441205746,-0.6548261815540098,-0.4883768620492975,-0.6284434606972512
b_chin,0.8185131451360965,1.0,0.9177488968646637,0.6771212582634839,0.9121307740179007,0.8456982203892227,-0.5733548607351713,-0.5018647711767271,-0.6018364552509631
b_cheek,0.8849363210254784,0.9177488968646637,1.0,0.7322150037565752,0.8405620273781816,0.9302691399946384,-0.6435483997204883,-0.5100573883562111,-0.6617216459000655
s,0.8781453567224146,0.6771212582634839,0.7322150037565752,1.0,0.6949512242657989,0.7593289143493028,-0.5257489191829243,-0.3518686956507776,-0.46870495243561067
s_chin,0.7501000381931185,0.9121307740179007,0.8405620273781816,0.6949512242657989,1.0,0.8739584762431735,-0.4460636813537741,-0.36614955894487133,-0.46312194215510855
s_cheek,0.8140158441205746,0.8456982203892227,0.9302691399946384,0.7593289143493028,0.8739584762431735,1.0,-0.5332249899281997,-0.3689561283024009,-0.5182933395784526
h,-0.6548261815540098,-0.5733548607351713,-0.6435483997204883,-0.5257489191829243,-0.4460636813537741,-0.5332249899281997,1.0,0.5603936869367904,0.7910883401074167
h_chin,-0.4883768620492975,-0.5018647711767271,-0.5100573883562111,-0.3518686956507776,-0.36614955894487133,-0.3689561283024009,0.5603936869367904,1.0,0.657466312371566
h_cheek,-0.6284434606972512,-0.6018364552509631,-0.6617216459000655,-0.46870495243561067,-0.46312194215510855,-0.5182933395784526,0.7910883401074167,0.657466312371566,1.0
